pair_id,pair_type,side,Arms_set,deg_set,beta_deg,id_A,iq_A,is_rated,point_role
142,mirror,regen,218.4224,97.5946,262.4054,375.0,-50.0,False,dense_cartesian
143,mirror,motoring,232.7373,82.875,-82.875,400.0,50.0,False,dense_cartesian
143,mirror,regen,232.7373,97.125,262.875,400.0,-50.0,False,dense_cartesian
144,mirror,motoring,247.0661,83.2902,-83.2902,425.0,50.0,False,dense_cartesian
144,mirror,regen,247.0661,96.7098,263.2902,425.0,-50.0,False,dense_cartesian
145,mirror,motoring,261.4065,83.6598,-83.6598,450.0,50.0,False,dense_cartesian
145,mirror,regen,261.4065,96.3402,263.6598,450.0,-50.0,False,dense_cartesian
146,mirror,motoring,275.7565,83.991,-83.991,475.0,50.0,False,dense_cartesian
146,mirror,regen,275.7565,96.009,263.991,475.0,-50.0,False,dense_cartesian
147,mirror,motoring,290.1149,84.2894,-84.2894,500.0,50.0,False,dense_cartesian
147,mirror,regen,290.1149,95.7106,264.2894,500.0,-50.0,False,dense_cartesian
148,mirror,motoring,304.4804,84.5597,-84.5597,525.0,50.0,False,dense_cartesian
148,mirror,regen,304.4804,95.4403,264.5597,525.0,-50.0,False,dense_cartesian
149,mirror,motoring,318.8521,84.8056,-84.8056,550.0,50.0,False,dense_cartesian
149,mirror,regen,318.8521,95.1944,264.8056,550.0,-50.0,False,dense_cartesian
150,mirror,motoring,333.2292,85.0303,-85.0303,575.0,50.0,False,dense_cartesian
150,mirror,regen,333.2292,94.9697,265.0303,575.0,-50.0,False,dense_cartesian
151,mirror,motoring,347.6109,85.2364,-85.2364,600.0,50.0,False,dense_cartesian
151,mirror,regen,347.6109,94.7636,265.2364,600.0,-50.0,False,dense_cartesian
152,mirror,motoring,361.9968,85.4261,-85.4261,625.0,50.0,False,dense_cartesian
152,mirror,regen,361.9968,94.5739,265.4261,625.0,-50.0,False,dense_cartesian
153,mirror,motoring,376.3863,85.6013,-85.6013,650.0,50.0,False,dense_cartesian
153,mirror,regen,376.3863,94.3987,265.6013,650.0,-50.0,False,dense_cartesian
154,mirror,motoring,390.7791,85.7636,-85.7636,675.0,50.0,False,dense_cartesian
